instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
PETR3,VALE3,1Year,1ms,pearson,1,-0.18639453251526825,11.971031188964844,0.15204143524169922,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,2,-0.18639453251526825,28.17742156982422,1.1238808631896973,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,3,-0.18639453251526825,27.918325662612915,1.1253044605255127,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,4,-0.18639453251526825,11.941271305084229,0.1528775691986084,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,5,-0.18639453251526825,27.745902061462402,1.123852252960205,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,1,-0.07809683442211611,14.084332704544067,2.2952022552490234,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,2,-0.07809683442211611,32.28943347930908,5.784263372421265,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,3,-0.07809683442211611,14.433950901031494,2.2158310413360596,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,4,-0.07809683442211611,32.44717884063721,5.812091827392578,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,5,-0.07809683442211611,32.58465385437012,5.765647888183594,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,1,-0.12804286364322837,13.723326444625854,1.9352574348449707,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,2,-0.12804286364322837,15.401411771774292,1.9536309242248535,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,3,-0.12804286364322837,14.218616724014282,1.9105303287506104,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,4,-0.12804286364322837,32.652876138687134,5.994616508483887,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,5,-0.12804286364322837,13.75420331954956,1.9221692085266113,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,10ms,pearson,1,,290.27700209617615,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,2,,266.4129390716553,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,3,,157.7639298439026,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,4,,286.86257791519165,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,5,,266.09666323661804,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,1,,158.66714143753052,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,2,,317.78529691696167,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,3,,179.72082424163818,,2313747,4355401,0,0,0,
