instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
CYRE3,RAIZ4,1Year,1D,pearson,1,-0.7949374471996992,5.902655124664307,0.0008733272552490234,1990807,2328423,261,261,249,
HYPE3,ITUB4,1Year,1T,spearman,4,0.6007468320893523,8.930529117584229,0.6710357666015625,1465959,4553920,153293,130190,88954,
CSAN3,SMFT3,1Year,1S,spearman,10,-0.2702911998272165,14.060532808303833,0.9499020576477051,2531894,1640080,7811390,9197937,2068477,
B3SA3,CYRE3,1Year,1D,spearman,7,0.6325547583017367,9.752464294433594,0.5657620429992676,4557170,1990807,222,261,216,
BRAV3,CSNA3,1Year,1ms,spearman,7,-0.004391341758606948,8.274518728256226,1.2861943244934082,2211028,1753841,2211028,1753841,3927212,
CYRE3,RAIL3,1Year,1D,pearson,2,-0.5860100104374882,7.312694549560547,0.0016410350799560547,1990807,3015133,261,261,249,
ENEV3,RAIL3,1Year,1T,kendall,10,-0.2906827958602293,7.666952848434448,0.5769920349121094,2096459,3015133,130190,153293,88893,
ASAI3,CXSE3,1Year,1ms,pearson,3,-0.25849031900138314,8.655131340026855,0.11263561248779297,3149833,1692802,3149833,1692802,4791608,
BBDC3,TOTS3,1Year,1D,pearson,10,0.8960386395563492,4.778034448623657,0.0014750957489013672,1739149,1702042,261,261,249,
BBSE3,RENT3,1Year,1ms,spearman,3,-0.19376928851386832,10.560235023498535,1.59202241897583,2027918,3085387,2027918,3085387,5078178,
RAIL3,SBSP3,1Year,1T,spearman,1,-0.5281661911237222,7.684308052062988,0.5760939121246338,3015133,2043096,153293,153297,102465,
ASAI3,HAPV3,1Year,1S,pearson,7,0.5870700774044774,16.4486825466156,0.04855942726135254,3149833,3754418,9197785,7811762,2752942,
ASAI3,CMIG4,1Year,1T,pearson,6,-0.31824681183950193,8.627787828445435,0.0020732879638671875,3149833,3095210,153297,153297,102534,
ASAI3,COGN3,1Year,1S,spearman,7,0.6374699374530269,15.924694061279297,1.008040189743042,3149833,2640596,9197785,7811757,2570976,
COGN3,RAIZ4,1Year,1T,spearman,4,-0.6614480653824182,7.5669848918914795,0.5760447978973389,2640596,2328423,130197,153297,88976,
ALOS3,HYPE3,1Year,1T,pearson,5,0.6505257798427059,4.187143802642822,0.0018129348754882812,1494794,1465959,153297,153293,102561,
CYRE3,MRVE3,1Year,1H,kendall,6,0.5185181667029775,5.674916505813599,0.5601191520690918,1990807,1758559,2555,2555,1738,
RAIL3,RDOR3,1Year,1T,kendall,10,-0.319480789518128,7.9999120235443115,0.6000566482543945,3015133,2306821,153293,153293,102428,
BPAC11,PETR3,1Year,1T,kendall,6,-0.499058755583134,7.810214996337891,0.5992670059204102,2880579,2313747,153293,130190,88913,
PETR3,POMO4,1Year,1S,spearman,2,-0.11755313226354544,14.835984945297241,0.956035852432251,2313747,2603793,7811392,9197778,2164181,
BEEF3,MRVE3,1Year,1T,kendall,2,0.233882177343513,5.818820953369141,0.5761620998382568,1994111,1758559,153297,153297,102489,
