instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
BBAS3,ITUB4,1Year,1S,spearman,5,-0.5091191047748852,19.05768585205078,1.2539558410644531,4920259,4553920,26722569,26722189,3368666,
ABEV3,VALE3,1Year,1S,kendall,9,-0.11168618662887941,18.433929204940796,1.174267053604126,4486771,4355401,31474570,26722193,3001853,
B3SA3,LREN3,1Year,1H,pearson,3,0.8149725295498675,11.32830548286438,0.0009596347808837891,4557170,3132116,7423,8743,1509,
BBAS3,HAPV3,1Year,1ms,kendall,3,-0.47771692885127837,18.26099157333374,2.4385385513305664,4920259,3754418,4920259,3754418,8590828,
ABEV3,LREN3,1Year,1H,pearson,3,0.4164300826588838,11.252904891967773,0.0009877681732177734,4486771,3132116,8743,8743,1738,
B3SA3,LREN3,1Year,1H,pearson,1,0.8149725295498675,11.614265203475952,0.0020630359649658203,4557170,3132116,7423,8743,1509,
HAPV3,ITUB4,1Year,1ms,spearman,1,0.816987309844188,17.23330330848694,2.1971826553344727,3754418,4553920,3754418,4553920,8203491,
HAPV3,VALE3,1Year,1S,kendall,3,0.09620435469716791,17.05342411994934,1.1577110290527344,3754418,4355401,26722562,26722193,2963254,
BBDC4,ITSA4,1Year,1ms,kendall,3,0.7589529643908036,17.4733247756958,2.203798532485962,4490500,3800661,4490500,3800661,8050171,
BBAS3,VALE3,1Year,1D,spearman,8,-0.12215894121399894,14.037326574325562,0.5663516521453857,4920259,4355401,222,222,216,
HAPV3,ITUB4,1Year,1T,pearson,2,0.7123417962791557,11.842236757278442,0.0023660659790039062,3754418,4553920,445377,445370,88842,
ABEV3,VALE3,1Year,1H,spearman,9,-0.19040136507428798,13.613275527954102,0.5747370719909668,4486771,4355401,8743,7423,1509,
B3SA3,ITSA4,1Year,1T,pearson,4,0.818550146187708,12.467596054077148,0.0025031566619873047,4557170,3800661,445370,445377,88933,
B3SA3,PETR4,1Year,1H,pearson,4,-0.6970502161157549,15.255028009414673,0.0009398460388183594,4557170,5783697,7423,7423,1509,
