instrument1,instrument2,period,frequency,correlation,repeat
PETR3,VALE3,1Year,1ms,pearson,1
PETR3,VALE3,1Year,1ms,pearson,2
PETR3,VALE3,1Year,1ms,pearson,3
PETR3,VALE3,1Year,1ms,pearson,4
PETR3,VALE3,1Year,1ms,pearson,5
PETR3,VALE3,1Year,1ms,kendall,1
PETR3,VALE3,1Year,1ms,kendall,2
PETR3,VALE3,1Year,1ms,kendall,3
PETR3,VALE3,1Year,1ms,kendall,4
PETR3,VALE3,1Year,1ms,kendall,5
PETR3,VALE3,1Year,1ms,spearman,1
PETR3,VALE3,1Year,1ms,spearman,2
PETR3,VALE3,1Year,1ms,spearman,3
PETR3,VALE3,1Year,1ms,spearman,4
PETR3,VALE3,1Year,1ms,spearman,5
PETR3,VALE3,1Year,5ms,pearson,1
PETR3,VALE3,1Year,5ms,pearson,2
PETR3,VALE3,1Year,5ms,pearson,3
PETR3,VALE3,1Year,5ms,pearson,4
PETR3,VALE3,1Year,5ms,pearson,5
PETR3,VALE3,1Year,5ms,kendall,1
PETR3,VALE3,1Year,5ms,kendall,2
PETR3,VALE3,1Year,5ms,kendall,3
PETR3,VALE3,1Year,5ms,kendall,4
PETR3,VALE3,1Year,5ms,kendall,5
PETR3,VALE3,1Year,5ms,spearman,1
PETR3,VALE3,1Year,5ms,spearman,2
PETR3,VALE3,1Year,5ms,spearman,3
PETR3,VALE3,1Year,5ms,spearman,4
PETR3,VALE3,1Year,5ms,spearman,5
PETR3,VALE3,1Year,10ms,pearson,1
PETR3,VALE3,1Year,10ms,pearson,2
PETR3,VALE3,1Year,10ms,pearson,3
PETR3,VALE3,1Year,10ms,pearson,4
PETR3,VALE3,1Year,10ms,pearson,5
PETR3,VALE3,1Year,10ms,kendall,1
PETR3,VALE3,1Year,10ms,kendall,2
PETR3,VALE3,1Year,10ms,kendall,3
PETR3,VALE3,1Year,10ms,kendall,4
PETR3,VALE3,1Year,10ms,kendall,5
PETR3,VALE3,1Year,10ms,spearman,1
PETR3,VALE3,1Year,10ms,spearman,2
PETR3,VALE3,1Year,10ms,spearman,3
PETR3,VALE3,1Year,10ms,spearman,4
PETR3,VALE3,1Year,10ms,spearman,5
PETR3,VALE3,1Year,50ms,pearson,1
PETR3,VALE3,1Year,50ms,pearson,2
PETR3,VALE3,1Year,50ms,pearson,3
PETR3,VALE3,1Year,50ms,pearson,4
PETR3,VALE3,1Year,50ms,pearson,5
PETR3,VALE3,1Year,50ms,kendall,1
PETR3,VALE3,1Year,50ms,kendall,2
PETR3,VALE3,1Year,50ms,kendall,3
PETR3,VALE3,1Year,50ms,kendall,4
PETR3,VALE3,1Year,50ms,kendall,5
PETR3,VALE3,1Year,50ms,spearman,1
PETR3,VALE3,1Year,50ms,spearman,2
PETR3,VALE3,1Year,50ms,spearman,3
PETR3,VALE3,1Year,50ms,spearman,4
PETR3,VALE3,1Year,50ms,spearman,5
PETR3,VALE3,1Year,100ms,pearson,1
PETR3,VALE3,1Year,100ms,pearson,2
PETR3,VALE3,1Year,100ms,pearson,3
PETR3,VALE3,1Year,100ms,pearson,4
PETR3,VALE3,1Year,100ms,pearson,5
PETR3,VALE3,1Year,100ms,kendall,1
PETR3,VALE3,1Year,100ms,kendall,2
PETR3,VALE3,1Year,100ms,kendall,3
PETR3,VALE3,1Year,100ms,kendall,4
PETR3,VALE3,1Year,100ms,kendall,5
PETR3,VALE3,1Year,100ms,spearman,1
PETR3,VALE3,1Year,100ms,spearman,2
PETR3,VALE3,1Year,100ms,spearman,3
PETR3,VALE3,1Year,100ms,spearman,4
PETR3,VALE3,1Year,100ms,spearman,5
PETR3,VALE3,1Year,500ms,pearson,1
PETR3,VALE3,1Year,500ms,pearson,2
PETR3,VALE3,1Year,500ms,pearson,3
PETR3,VALE3,1Year,500ms,pearson,4
PETR3,VALE3,1Year,500ms,pearson,5
PETR3,VALE3,1Year,500ms,kendall,1
PETR3,VALE3,1Year,500ms,kendall,2
PETR3,VALE3,1Year,500ms,kendall,3
PETR3,VALE3,1Year,500ms,kendall,4
PETR3,VALE3,1Year,500ms,kendall,5
PETR3,VALE3,1Year,500ms,spearman,1
PETR3,VALE3,1Year,500ms,spearman,2
PETR3,VALE3,1Year,500ms,spearman,3
PETR3,VALE3,1Year,500ms,spearman,4
PETR3,VALE3,1Year,500ms,spearman,5
PETR3,VALE3,1Year,1S,pearson,1
PETR3,VALE3,1Year,1S,pearson,2
PETR3,VALE3,1Year,1S,pearson,3
PETR3,VALE3,1Year,1S,pearson,4
PETR3,VALE3,1Year,1S,pearson,5
PETR3,VALE3,1Year,1S,kendall,1
PETR3,VALE3,1Year,1S,kendall,2
PETR3,VALE3,1Year,1S,kendall,3
PETR3,VALE3,1Year,1S,kendall,4
PETR3,VALE3,1Year,1S,kendall,5
PETR3,VALE3,1Year,1S,spearman,1
PETR3,VALE3,1Year,1S,spearman,2
PETR3,VALE3,1Year,1S,spearman,3
