instrument1,instrument2,period,frequency,correlation,repeat
ABEV3,PETR4,1Year,1D,pearson,9
HAPV3,PETR4,1Year,1D,pearson,8
ITSA4,LREN3,1Year,1H,spearman,8
ABEV3,BBDC4,1Year,1D,spearman,3
B3SA3,BBAS3,1Year,1S,kendall,10
BBAS3,ITSA4,1Year,1D,pearson,4
BBDC4,ITSA4,1Year,1T,pearson,4
BBDC4,ITSA4,1Year,1H,kendall,6
BBDC4,VALE3,1Year,1T,kendall,5
LREN3,PETR4,1Year,1D,kendall,1
ABEV3,PETR4,1Year,1ms,pearson,5
BBAS3,PETR4,1Year,1H,kendall,10
BBAS3,LREN3,1Year,1D,pearson,6
HAPV3,VALE3,1Year,1T,kendall,2
BBDC4,ITUB4,1Year,1T,kendall,4
B3SA3,BBAS3,1Year,1T,pearson,6
B3SA3,PETR4,1Year,1D,pearson,3
HAPV3,ITUB4,1Year,1H,spearman,9
BBDC4,ITSA4,1Year,1S,pearson,3
ITSA4,LREN3,1Year,1S,pearson,3
PETR4,VALE3,1Year,1H,kendall,3
BBDC4,VALE3,1Year,1ms,spearman,6
HAPV3,ITUB4,1Year,1T,spearman,2
B3SA3,BBDC4,1Year,1ms,pearson,3
LREN3,VALE3,1Year,1S,spearman,9
HAPV3,ITUB4,1Year,1H,kendall,1
ITUB4,LREN3,1Year,1S,pearson,10
B3SA3,ITUB4,1Year,1T,pearson,2
HAPV3,VALE3,1Year,1ms,kendall,3
HAPV3,PETR4,1Year,1T,spearman,10
BBDC4,ITSA4,1Year,1D,spearman,9
LREN3,VALE3,1Year,1ms,spearman,7
BBDC4,HAPV3,1Year,1S,pearson,10
BBAS3,LREN3,1Year,1H,spearman,5
ITSA4,LREN3,1Year,1S,pearson,10
HAPV3,PETR4,1Year,1D,spearman,7
BBDC4,PETR4,1Year,1S,kendall,6
HAPV3,PETR4,1Year,1ms,kendall,2
ABEV3,B3SA3,1Year,1ms,pearson,7
BBAS3,ITSA4,1Year,1D,kendall,1
B3SA3,VALE3,1Year,1T,spearman,8
BBAS3,PETR4,1Year,1T,pearson,2
ABEV3,ITSA4,1Year,1T,kendall,9
B3SA3,ITSA4,1Year,1D,spearman,4
PETR4,VALE3,1Year,1ms,spearman,8
ITUB4,VALE3,1Year,1S,spearman,9
ITSA4,VALE3,1Year,1ms,pearson,7
HAPV3,VALE3,1Year,1T,kendall,9
PETR4,VALE3,1Year,1D,kendall,10
BBAS3,BBDC4,1Year,1S,spearman,8
ITUB4,PETR4,1Year,1D,spearman,7
BBDC4,PETR4,1Year,1H,spearman,1
ITUB4,VALE3,1Year,1S,spearman,5
BBDC4,ITUB4,1Year,1H,kendall,4
ABEV3,PETR4,1Year,1ms,kendall,5
BBAS3,ITSA4,1Year,1S,kendall,5
LREN3,PETR4,1Year,1S,spearman,5
BBDC4,VALE3,1Year,1T,pearson,3
B3SA3,LREN3,1Year,1D,spearman,3
B3SA3,BBAS3,1Year,1D,pearson,5
HAPV3,PETR4,1Year,1S,spearman,2
B3SA3,ITSA4,1Year,1T,spearman,10
BBAS3,PETR4,1Year,1D,kendall,6
BBDC4,LREN3,1Year,1D,kendall,1
ABEV3,PETR4,1Year,1ms,pearson,4
B3SA3,ITUB4,1Year,1T,kendall,2
ITSA4,ITUB4,1Year,1S,spearman,10
ITSA4,PETR4,1Year,1ms,spearman,2
BBAS3,BBDC4,1Year,1H,kendall,9
B3SA3,VALE3,1Year,1T,pearson,8
ITUB4,LREN3,1Year,1D,spearman,9
ABEV3,PETR4,1Year,1T,spearman,1
B3SA3,BBAS3,1Year,1H,spearman,2
BBDC4,ITUB4,1Year,1H,pearson,5
ITUB4,PETR4,1Year,1H,kendall,7
BBAS3,PETR4,1Year,1T,pearson,6
PETR4,VALE3,1Year,1H,kendall,5
BBDC4,LREN3,1Year,1T,pearson,10
