instrument1,instrument2,period,frequency,entry_id
MBRF3,SMFT3,1D,1S,1
BBDC3,ENEV3,1D,1S,3
BBSE3,BBDC4,1D,1H,1
BRKM5,ISAE4,1D,1T,1
AZZA3,SBSP3,1D,1T,1
ASAI3,CXSE3,1D,1H,2
ENGI11,NATU3,1D,1H,3
ITUB4,RENT3,1D,1S,2
COGN3,SMFT3,1D,1T,3
CURY3,SMFT3,1D,1T,2
AURE3,VIVA3,1D,1H,2
BBSE3,PRIO3,1D,1H,3
BRAV3,CSAN3,1D,1T,3
RECV3,PRIO3,1D,1T,3
CPFE3,IGTI11,1D,1T,3
PETR4,VBBR3,1D,1S,2
RADL3,TIMS3,1D,1S,3
TIMS3,USIM5,1D,1T,3
CPLE6,PETR4,1D,1H,2
TAEE11,WEGE3,1D,1H,1
ITUB4,RADL3,1D,1S,3
MULT3,PETR3,1D,1H,2
CYRE3,SANB11,1D,1T,1
IGTI11,RAIZ4,1D,1S,2
BRKM5,ELET3,1D,1S,3
BBAS3,VBBR3,1D,1S,1
BRAP4,SLCE3,1D,1T,1
VIVT3,VAMO3,1D,1S,3
BBDC3,CEAB3,1D,1T,3
HAPV3,SANB11,1D,1S,3
CURY3,VALE3,1D,1S,3
CPLE6,USIM5,1D,1H,3
HAPV3,VAMO3,1D,1S,2
PSSA3,TIMS3,1D,1H,1
ASAI3,VBBR3,1D,1T,3
BBDC3,USIM5,1D,1H,1
MOTV3,TAEE11,1D,1S,3
B3SA3,CURY3,1D,1H,3
ASAI3,CMIN3,1D,1T,3
POMO4,CSNA3,1D,1T,2
FLRY3,PRIO3,1D,1T,3
HAPV3,VBBR3,1D,1S,3
BEEF3,MOTV3,1D,1S,3
SBSP3,UGPA3,1D,1T,2
CEAB3,SBSP3,1D,1H,2
PETR3,PETR4,1D,1H,3
BRAP4,ELET6,1D,1T,3
HAPV3,TOTS3,1D,1S,1
FLRY3,VIVT3,1D,1S,1
RENT3,MRVE3,1D,1S,3
AZZA3,PETR3,1D,1H,1
ENEV3,GGBR4,1D,1S,2
RENT3,YDUQ3,1D,1S,1
B3SA3,COGN3,1D,1T,2
IRBR3,MRVE3,1D,1S,3
COGN3,HAPV3,1D,1S,3
ELET3,RADL3,1D,1S,3
VIVT3,VIVA3,1D,1S,3
ABEV3,POMO4,1D,1T,2
ENGI11,RAIZ4,1D,1T,1
AZZA3,CEAB3,1D,1H,1
VIVT3,VBBR3,1D,1H,2
CVCB3,RENT3,1D,1S,3
HAPV3,YDUQ3,1D,1S,1
GGBR4,MBRF3,1D,1S,2
COGN3,MGLU3,1D,1S,3
PCAR3,SBSP3,1D,1S,1
COGN3,DIRR3,1D,1T,3
CEAB3,TOTS3,1D,1T,1
VALE3,VBBR3,1D,1H,1
ENEV3,HYPE3,1D,1S,1
GGBR4,PETR4,1D,1T,2
CURY3,HAPV3,1D,1S,1
IGTI11,ITSA4,1D,1T,2
ABEV3,VIVA3,1D,1T,3
AURE3,ENGI11,1D,1H,3
ENGI11,TOTS3,1D,1H,3
BEEF3,RECV3,1D,1H,2
GGBR4,HYPE3,1D,1H,2
ABEV3,PSSA3,1D,1T,2
BRAV3,GGBR4,1D,1S,3
MRVE3,RADL3,1D,1S,1
BEEF3,SANB11,1D,1H,1
CVCB3,RADL3,1D,1T,3
CXSE3,ISAE4,1D,1H,2
SBSP3,TIMS3,1D,1S,2
EGIE3,YDUQ3,1D,1S,2
ENEV3,FLRY3,1D,1T,2
POMO4,RDOR3,1D,1H,1
CPLE6,MRVE3,1D,1S,2
ABEV3,SBSP3,1D,1S,2
ALOS3,MBRF3,1D,1T,3
BBDC3,CMIN3,1D,1H,2
FLRY3,RAIL3,1D,1T,2
RADL3,TAEE11,1D,1S,3
HAPV3,MBRF3,1D,1T,1
ABEV3,AURE3,1D,1S,1
TOTS3,VAMO3,1D,1T,2
GOAU4,SUZB3,1D,1H,3
AZZA3,MULT3,1D,1S,2
EQTL3,USIM5,1D,1S,1
IGTI11,VIVA3,1D,1H,2
CPLE6,PETR3,1D,1T,3
EGIE3,GGBR4,1D,1S,3
AZZA3,FLRY3,1D,1S,2
RENT3,SANB11,1D,1S,2
CPFE3,SLCE3,1D,1H,1
AURE3,SLCE3,1D,1T,1
CPFE3,DIRR3,1D,1S,3
HAPV3,PETR3,1D,1H,3
PSSA3,RADL3,1D,1H,2
PETR3,SMFT3,1D,1S,3
BRAV3,CPLE6,1D,1S,2
IGTI11,YDUQ3,1D,1H,2
CPLE6,VALE3,1D,1T,1
ASAI3,BRAV3,1D,1H,1
RADL3,RDOR3,1D,1T,3
KLBN11,MBRF3,1D,1T,1
ITUB4,RADL3,1D,1T,1
B3SA3,HAPV3,1D,1T,2
BBDC3,MULT3,1D,1S,3
BBSE3,ITUB4,1D,1S,3
CMIG4,UGPA3,1D,1S,3
IGTI11,PETR3,1D,1H,1
ENGI11,TIMS3,1D,1S,2
AZZA3,DIRR3,1D,1H,3
KLBN11,POMO4,1D,1T,1
CVCB3,VAMO3,1D,1T,2
ALOS3,EMBR3,1D,1H,2
CEAB3,YDUQ3,1D,1S,3
PCAR3,RECV3,1D,1T,3
ENEV3,BEEF3,1D,1S,3
CMIN3,ELET3,1D,1T,2
CMIG4,BEEF3,1D,1H,2
ALOS3,RECV3,1D,1S,2
BBSE3,ENEV3,1D,1T,1
CYRE3,IRBR3,1D,1S,2
VIVT3,VBBR3,1D,1T,1
DIRR3,PETR4,1D,1H,1
AZZA3,SBSP3,1D,1T,3
CPFE3,MGLU3,1D,1S,2
CPFE3,EGIE3,1D,1S,1
MULT3,SANB11,1D,1S,3
CMIN3,HAPV3,1D,1T,1
BBDC4,ITUB4,1D,1H,1
CXSE3,SMFT3,1D,1H,3
ISAE4,MOTV3,1D,1S,2
TOTS3,WEGE3,1D,1T,1
MRVE3,RADL3,1D,1S,3
BBAS3,WEGE3,1D,1S,3
HYPE3,MOTV3,1D,1T,2
LREN3,VIVA3,1D,1T,3
CYRE3,VALE3,1D,1S,3
USIM5,VALE3,1D,1S,3
MBRF3,TIMS3,1D,1S,2
ELET6,ENGI11,1D,1S,1
BPAC11,RADL3,1D,1S,1
EGIE3,HYPE3,1D,1H,2
BEEF3,UGPA3,1D,1H,3
SLCE3,VBBR3,1D,1H,2
CURY3,HAPV3,1D,1T,3
GOAU4,MRVE3,1D,1T,1
CSAN3,EQTL3,1D,1H,3
ABEV3,ITUB4,1D,1T,1
GOAU4,SLCE3,1D,1S,1
BBDC4,CEAB3,1D,1H,1
ENGI11,ENEV3,1D,1S,3
LREN3,RADL3,1D,1T,3
BRAP4,MOTV3,1D,1H,2
B3SA3,COGN3,1D,1H,1
GOAU4,MGLU3,1D,1H,2
CPLE6,RENT3,1D,1T,2
BPAC11,RAIZ4,1D,1T,2
GGBR4,MGLU3,1D,1S,1
ALOS3,SANB11,1D,1T,1
ISAE4,MOTV3,1D,1H,2
ALOS3,DIRR3,1D,1S,2
BBAS3,CEAB3,1D,1S,1
COGN3,SUZB3,1D,1H,3
ALOS3,TIMS3,1D,1T,3
USIM5,VALE3,1D,1T,2
ALOS3,EQTL3,1D,1S,1
FLRY3,KLBN11,1D,1T,3
NATU3,SLCE3,1D,1S,1
AZZA3,EGIE3,1D,1S,1
CSAN3,SLCE3,1D,1S,2
FLRY3,MULT3,1D,1T,2
CPLE6,NATU3,1D,1S,2
ENGI11,VIVA3,1D,1T,1
IGTI11,RENT3,1D,1T,2
ELET3,VBBR3,1D,1H,2
CURY3,RAIL3,1D,1S,2
RADL3,RDOR3,1D,1S,3
BBAS3,VAMO3,1D,1H,2
SBSP3,TIMS3,1D,1H,1
HYPE3,SMFT3,1D,1H,2
BPAC11,RAIL3,1D,1H,1
CPLE6,GOAU4,1D,1S,2
CPFE3,SMFT3,1D,1S,3
BRAP4,EQTL3,1D,1H,2
BRAP4,ENEV3,1D,1S,3
BBDC4,GOAU4,1D,1S,2
BRKM5,WEGE3,1D,1S,1
BRAP4,ITUB4,1D,1T,1
FLRY3,GGBR4,1D,1S,2
VAMO3,YDUQ3,1D,1T,1
BBDC4,USIM5,1D,1S,1
CSNA3,WEGE3,1D,1S,1
BBAS3,DIRR3,1D,1S,2
BBAS3,GGBR4,1D,1S,3
B3SA3,RENT3,1D,1H,3
COGN3,YDUQ3,1D,1H,1
BBDC4,COGN3,1D,1S,3
BRAP4,PCAR3,1D,1S,2
BRAV3,ENGI11,1D,1S,3
BBDC4,SANB11,1D,1H,2
SUZB3,VAMO3,1D,1S,1
KLBN11,YDUQ3,1D,1S,1
CMIG4,ITUB4,1D,1T,1
AZZA3,CPLE6,1D,1S,2
BRAV3,SMFT3,1D,1S,2
BBDC4,GOAU4,1D,1S,1
AURE3,PETR3,1D,1T,1
GOAU4,RAIL3,1D,1T,1
B3SA3,CVCB3,1D,1S,3
CVCB3,ITSA4,1D,1S,2
ELET6,SMFT3,1D,1T,3
CPFE3,IGTI11,1D,1S,2
CVCB3,TAEE11,1D,1S,2
BBAS3,VIVT3,1D,1T,1
EQTL3,USIM5,1D,1S,3
MGLU3,RADL3,1D,1H,2
BBSE3,WEGE3,1D,1H,1
BPAC11,IGTI11,1D,1S,3
BBSE3,POMO4,1D,1T,1
IRBR3,TOTS3,1D,1T,1
HYPE3,SANB11,1D,1T,2
ALOS3,TAEE11,1D,1T,1
BBAS3,PSSA3,1D,1S,1
KLBN11,USIM5,1D,1T,3
EQTL3,POMO4,1D,1S,3
BPAC11,EQTL3,1D,1H,1
ALOS3,PRIO3,1D,1T,1
PETR4,TIMS3,1D,1T,3
CMIG4,VIVA3,1D,1T,3
AURE3,CSNA3,1D,1S,1
CXSE3,ITUB4,1D,1T,1
DIRR3,MBRF3,1D,1T,2
FLRY3,ISAE4,1D,1H,1
CURY3,USIM5,1D,1T,3
PETR4,PRIO3,1D,1S,3
BBDC3,MRVE3,1D,1T,1
ABEV3,ASAI3,1D,1T,2
CMIN3,NATU3,1D,1T,1
PSSA3,SMFT3,1D,1S,2
CXSE3,YDUQ3,1D,1T,3
BPAC11,EMBR3,1D,1S,2
PSSA3,SBSP3,1D,1H,2
BRKM5,HAPV3,1D,1H,2
ELET6,PSSA3,1D,1H,3
ELET6,PETR4,1D,1S,2
EMBR3,TIMS3,1D,1S,2
B3SA3,GGBR4,1D,1H,1
AZZA3,CXSE3,1D,1S,1
