instrument1,instrument2,period,frequency,correlation,repeat
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,30S,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,1T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,5T,pearson,1
PETR3,VALE3,1Year,15T,pearson,1
PETR3,VALE3,1Year,15T,pearson,1
PETR3,VALE3,1Year,15T,pearson,1
PETR3,VALE3,1Year,15T,pearson,1
PETR3,VALE3,1Year,15T,pearson,1
