instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
PETR3,VALE3,1Year,1ms,pearson,1,-0.18639453251526825,12.2546067237854,0.16935420036315918,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,2,-0.18639453251526825,11.90295124053955,0.15189909934997559,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,3,-0.18639453251526825,27.587727546691895,1.1263794898986816,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,4,-0.18639453251526825,12.013245582580566,0.15274405479431152,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,pearson,5,-0.18639453251526825,28.16820454597473,1.1229088306427002,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,1,-0.07809683442211611,16.84201669692993,5.076872825622559,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,2,-0.07809683442211611,32.23565173149109,5.816037654876709,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,3,-0.07809683442211611,13.95375943183899,2.1784989833831787,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,4,-0.07809683442211611,32.53369665145874,5.734497547149658,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,kendall,5,-0.07809683442211611,13.946505069732666,2.1658060550689697,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,1,-0.12804286364322837,13.658813714981079,1.9112892150878906,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,2,-0.12804286364322837,32.99586248397827,6.01987624168396,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,3,-0.12804286364322837,13.67971396446228,1.927823543548584,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,4,-0.12804286364322837,13.815817594528198,1.9050118923187256,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,1ms,spearman,5,-0.12804286364322837,32.52113604545593,5.961229085922241,2313747,4355401,2313747,4355401,6551179,
PETR3,VALE3,1Year,10ms,pearson,1,,268.79034972190857,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,2,,295.7158901691437,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,3,,159.0734784603119,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,4,,266.4689121246338,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,pearson,5,,249.3654386997223,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,1,,163.41065001487732,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,2,,160.13418102264404,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,3,,158.24671626091003,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,4,,162.60310125350952,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,kendall,5,,187.02170705795288,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,spearman,1,,266.75646924972534,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,spearman,2,,266.2009961605072,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,spearman,3,,279.81338596343994,,2313747,4355401,0,0,0,
PETR3,VALE3,1Year,10ms,spearman,4,,265.81139397621155,,2313747,4355401,0,0,0,
