instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation,source_file
B3SA3,PETR3,1Year,1S,pearson,6,-0.6905786881324721,16.242876529693604,0.0487916469573974,4557170,2313747,7811393,7811392,2742092,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,VALE3,1Year,1T,kendall,8,0.0020940924879989,8.69795536994934,0.6623475551605225,1465959,4355401,153293,130190,88956,,correlation_instrument_combinations_part_1_736973_backup.csv
ABEV3,ITUB4,1Year,1D,pearson,3,,12.95677375793457,,4486771,4553920,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CSNA3,ITUB4,1Year,1T,pearson,10,-0.2613136169179563,8.611027479171753,0.0023746490478515,1753841,4553920,153293,130190,88873,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,HYPE3,1Year,1D,kendall,3,,5.126324653625488,,2211028,1465959,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
EQTL3,GGBR4,1Year,1ms,spearman,9,-0.3971777557614607,11.89883017539978,1.7174968719482422,2934890,2814658,2934890,2814658,5684366,,correlation_instrument_combinations_part_1_736973_backup.csv
VIVA3,VIVT3,1Year,1D,spearman,9,,5.054480791091919,,1574493,2100935,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC4,USIM5,1Year,1D,pearson,4,,8.538097858428955,,4490500,1588823,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,SUZB3,1Year,1T,kendall,4,-0.5475637604273265,5.675543785095215,0.5787820816040039,1494794,2157162,153297,130197,89012,,correlation_instrument_combinations_part_1_736973_backup.csv
MRVE3,VIVT3,1Year,1ms,spearman,8,-0.2268565356862894,8.313105344772339,1.263882398605347,1758559,2100935,1758559,2100935,3848532,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC3,VBBR3,1Year,1ms,pearson,9,0.854624987969547,7.815416574478149,0.1030449867248535,1739149,2642833,1739149,2642833,4330135,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIN3,CYRE3,1Year,1D,pearson,4,,4.695237398147583,,1433386,1990807,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
LREN3,USIM5,1Year,1S,pearson,3,-0.6236377081175295,14.10803723335266,0.040557861328125,3132116,1588823,9197573,7811775,2205009,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,VIVA3,1Year,1S,spearman,5,0.6915912718078954,12.664976358413696,0.8408598899841309,1465959,1574493,9197562,9197570,1626841,,correlation_instrument_combinations_part_1_736973_backup.csv
TOTS3,VIVA3,1Year,1D,spearman,3,,4.530828952789307,,1702042,1574493,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,CYRE3,1Year,1ms,pearson,8,-0.6836027629028991,7.514511823654175,0.0922503471374511,2211028,1990807,2211028,1990807,4170155,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,CMIN3,1Year,1H,pearson,5,-0.18996435403105,6.217475175857544,0.0009286403656005,3149833,1433386,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,PRIO3,1Year,1H,pearson,8,0.2785562252242798,5.518261432647705,0.0015335083007812,1465959,2583061,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
SMFT3,VBBR3,1Year,1D,spearman,8,,5.792370080947876,,1640080,2642833,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CSAN3,SBSP3,1Year,1S,spearman,7,-0.4226122041465392,15.061648607254028,0.924468994140625,2531894,2043096,7811390,9197778,2042896,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC3,VAMO3,1Year,1ms,kendall,7,-0.3386361940075506,7.675541639328003,1.2437283992767334,1739149,1938079,1739149,1938079,3656115,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR3,RENT3,1Year,1T,pearson,8,-0.7288103713039364,7.754424810409546,0.0017981529235839,2313747,3085387,130190,153297,88808,,correlation_instrument_combinations_part_1_736973_backup.csv
CSAN3,RDOR3,1Year,1ms,spearman,8,-0.4877147047669176,9.800159692764282,1.4394514560699463,2531894,2306821,2531894,2306821,4446782,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC3,WEGE3,1Year,1D,pearson,3,,5.910589694976807,,1739149,2589087,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC4,ITUB4,1Year,1D,pearson,9,,12.64645004272461,,4490500,4553920,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,RAIL3,1Year,1H,spearman,4,0.1522622323994448,8.905476808547974,0.5821812152862549,3095210,3015133,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
CPLE6,USIM5,1Year,1D,spearman,6,,6.309882402420044,,3024581,1588823,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR3,VAMO3,1Year,1D,spearman,7,,6.012085437774658,,2313747,1938079,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
MULT3,TOTS3,1Year,1H,kendall,3,0.6585086647145594,5.260547637939453,0.561983585357666,1704767,1702042,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
MGLU3,VIVA3,1Year,1T,pearson,1,0.2016182585836966,5.493443727493286,0.0017683506011962,2337273,1574493,153293,153293,102447,,correlation_instrument_combinations_part_1_736973_backup.csv
EQTL3,MULT3,1Year,1ms,pearson,4,0.9189398293724343,8.525036334991455,0.1120195388793945,2934890,1704767,2934890,1704767,4616285,,correlation_instrument_combinations_part_1_736973_backup.csv
PRIO3,RENT3,1Year,1S,kendall,10,-0.0529463840438968,15.772269248962402,1.0383765697479248,2583061,3085387,7811768,9197767,2257536,,correlation_instrument_combinations_part_1_736973_backup.csv
ENGI11,RDOR3,1Year,1T,pearson,5,0.96009823884047,5.327204942703247,0.0018718242645263,1490072,2306821,153297,153293,102409,,correlation_instrument_combinations_part_1_736973_backup.csv
ITUB4,MULT3,1Year,1ms,spearman,5,0.9111702109624688,12.891334533691406,1.753246784210205,4553920,1704767,4553920,1704767,6002014,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIN3,RENT3,1Year,1T,spearman,7,0.0796305808956386,6.89630937576294,0.5770719051361084,1433386,3085387,153293,153297,102404,,correlation_instrument_combinations_part_1_736973_backup.csv
BEEF3,ITUB4,1Year,1D,pearson,9,,8.837639093399048,,1994111,4553920,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,RADL3,1Year,1T,spearman,2,0.1993951827625439,7.235962867736816,0.6021575927734375,2027918,2764740,153297,153293,102538,,correlation_instrument_combinations_part_1_736973_backup.csv
SMFT3,USIM5,1Year,1D,spearman,7,,4.4596357345581055,,1640080,1588823,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CPLE6,ITUB4,1Year,1S,pearson,3,0.9048541453305454,17.547237873077393,0.0505478382110595,3024581,4553920,9197789,7811389,2843464,,correlation_instrument_combinations_part_1_736973_backup.csv
MRVE3,RAIL3,1Year,1H,kendall,3,-0.2969633333255513,7.539538145065308,0.5669326782226562,1758559,3015133,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR3,VALE3,1Year,1T,kendall,7,-0.1027907263587589,9.690545320510864,0.5866084098815918,2313747,4355401,130190,130190,88891,,correlation_instrument_combinations_part_1_736973_backup.csv
